question,answer
Which water from the equator mixes with cold water from the poles?,warm
What component of a prokaryote is unique in  molecular composition and mechanism of propulsion?,the flagella
What is the disease where some alveoli of the lungs fill with fluid?,pneumonia
What is the term for a change in the inherited traits of organisms over time?,evolution
What type of energy travels through matter in wave form?,sound
What type of learning is done from past experiences and reasoning?,insight learning
If a unit is named after a person it needs to be?,capitalized
"If you were to filter out all the cells in blood, you would be left with what golden-yellow liquid?",plasma
"Lampreys possess a large round sucker, lined with teeth, that surrounds the mouth and is used to feed on what?",blood
Which region is just posterior to the mouth?,the pharynx
Memory t cells are long-lived and can even persist for how long?,lifetime
Microfilaments are mostly concentrated just beneath what?,the cell membrane
What kind of islands provide natural protection to shorelines?,barrier islands
The scientific name of an organism consists of its genus and what else?,species
The planet neptune has strange dark spots that sometimes appear on its surface?  what are these spots?,storms
What is the scientific term for farsightedness?,hyperopia
What term describes how close estimates are to one another?,precision
What is the capacity to cause change?,energy
A plant is composed of two main types of tissue: meristematic tissue and what other kind of tissue?,permanent tissue
"Ion pumps, the biological machines responsible for the selective transport of metal ions, are complex assemblies of what?",proteins
What is the multi-phase process in which the nucleus of a eukaryotic cell divides?,mitosis
"In living systems, diffusion of substances into and out of cells is mediated by the what membrane?",plasma
Where does digestion begin?,gastrovascular cavity
What are objects that are launched into the air called?,projectiles
What occurs where the water motion slows?,deposition
What does power imply is happening to energy?,being transferred
What are compounds with the same number of carbon and hydrogen atoms called?,isomers
Water is an oxide of what element?,hydrogen
What two cycles make up the female reproductive cycle?,ovarian and menstrual
